Sector: Infrastructure,
Date: 13-Aug-2024,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: sangram.dash.mobile@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Crane Infrastructure Ltd.,538770,Engineering - Construction,17.45,1,2024-03,0.01,17.45,2024-06,1.34,0.79,2024-06,22.06,9.92,1.48,1,2023-03,0,3.43,4.58,"538770,"
Manav Infra Projects Ltd.,MANAV,Engineering - Construction,15.62,1,2024-03,9.38,24.9,2024-03,14.31,1.16,2024-03,13.51,,-4.84,1,2023-03,-3.04,0,30.01,"MANAV,"
Raunaq lnternational Ltd.,537840,Engineering - Construction,15.04,1,2024-03,,11.98,2024-06,5.79,-1.01,2024-06,0,,2.27,1,2023-03,0.03,-27.3,-24.95,"537840,"
RJ Shah & Company Ltd.,509845,Engineering - Construction,14.64,1,2024-03,1.23,15.47,2024-06,0,3.74,2024-06,3.91,0.63,0.41,1,2024-03,0.03,11.2,13.24,"509845,"
Transwind Infrastructures Ltd.,TRANSWIND,Engineering - Construction,12.68,1,2024-03,0.63,13.3,2024-03,14.8,0.55,2024-03,23.17,,0.8,1,2023-03,0,3.33,5.29,"TRANSWIND,"
VKJ Infradevelopers Ltd.,536128,Engineering - Construction,11.42,1,2022-09,1.01,12.44,2022-12,0,0.02,2022-12,671.99,,,1,2022-03,0.07,0.08,0.08,"536128,"
Setubandhan Infrastructure Ltd.,SETUINFRA,Engineering - Construction,10.18,1,2023-09,160.2,170.38,2022-12,13.62,-0.06,2023-03,294.22,,0.21,2,2023-03,1.59,0.18,0.44,"SETUINFRA,"
Vaghani Techno-Build Ltd.,531676,Engineering - Construction,9.91,1,2024-03,0,9.9,2024-06,0,-0.11,2024-06,0,0,1.38,1,2024-03,0,-1.4,1.27,"531676,"
Shree Precoated Steels Ltd.,533110,Engineering - Construction,7.36,1,2024-03,,7.36,2024-06,0,-0.58,2024-06,0,,-4.39,1,2023-03,0,0,0,"533110,"
Vardhman Concrete Ltd.,531444,Engineering - Construction,6.78,1,2024-06,15.36,22.14,2024-06,0,-11.22,2024-06,0,,-0.34,1,2024-03,-1.58,0,-17.58,"531444,"
Ridings Consulting Engineers India Ltd.,541151,Engineering - Construction,5.72,1,2022-03,11,16.72,2022-03,4.85,0.03,2022-03,176.62,,,1,2022-03,6.32,1.88,11.96,"541151,"
Jyothi Infraventures Ltd.,531537,Engineering - Construction,5.03,1,2024-03,2.54,7.56,2024-06,0,-2,2024-06,0,,-1.84,1,2024-03,-0.97,0,-329.32,"531537,"
Diamant Infrastructure Ltd.,508860,Engineering - Construction,4.96,1,2024-03,11.14,16.1,2024-03,0,-0.13,2024-03,0,0,0.46,1,2023-03,1.03,-0.75,-0.01,"508860,"
Shelter Infra Projects Ltd.,526839,Engineering - Construction,4.46,1,2024-03,17.61,21.37,2024-06,1.88,0.04,2024-06,111.57,,1.22,1,2023-03,4.75,-10.6,-0.25,"526839,"
Anand Projects Ltd.,501630,Engineering - Construction,2.29,2,2024-03,11.52,13.02,2024-03,1.2,-29.75,2023-12,0.11,,0.06,2,2023-03,0,11,-35.12,"501630,"
Shah Construction Company Ltd.,509870,Engineering - Construction,0.93,1,2024-03,107.01,107.94,2024-03,2.8,-2.44,2023-03,0,0,-0.01,1,2023-03,-1.09,0,18.11,"509870,"
